date,property_id,property_name,unit_number,resident_id,resident_name,monthly_rent
2024-12-03,1,Sunset Gardens,P1-U01,,,0
2024-12-03,1,Sunset Gardens,P1-U02,1,Resident1 Last1,4103
2024-12-03,1,Sunset Gardens,P1-U03,2,Resident2 Last2,4626
2024-12-03,1,Sunset Gardens,P1-U04,3,Resident3 Last3,3710
2024-12-03,1,Sunset Gardens,P1-U05,4,Resident4 Last4,4469
2024-12-03,1,Sunset Gardens,P1-U06,,,0
2024-12-03,1,Sunset Gardens,P1-U07,5,Resident5 Last5,6368
2024-12-03,1,Sunset Gardens,P1-U08,6,Resident6 Last6,4726
2024-12-03,1,Sunset Gardens,P1-U09,7,Resident7 Last7,4274
2024-12-03,1,Sunset Gardens,P1-U10,8,Resident8 Last8,5207
2024-12-03,1,Sunset Gardens,P1-U11,9,Resident9 Last9,6915
2024-12-03,1,Sunset Gardens,P1-U12,10,Resident10 Last10,3888
2024-12-03,1,Sunset Gardens,P1-U13,11,Resident11 Last11,4505
2024-12-03,1,Sunset Gardens,P1-U14,12,Resident12 Last12,6471
2024-12-03,1,Sunset Gardens,P1-U15,,,0
2024-12-03,1,Sunset Gardens,P1-U16,,,0
2024-12-03,1,Sunset Gardens,P1-U17,,,0
2024-12-03,1,Sunset Gardens,P1-U18,13,Resident13 Last13,3438
2024-12-03,1,Sunset Gardens,P1-U19,14,Resident14 Last14,5725
2024-12-03,1,Sunset Gardens,P1-U20,,,0
2024-12-03,1,Sunset Gardens,P1-U21,15,Resident15 Last15,7434
2024-12-03,1,Sunset Gardens,P1-U22,,,0
2024-12-03,1,Sunset Gardens,P1-U23,,,0
2024-12-03,1,Sunset Gardens,P1-U24,,,0
2024-12-03,1,Sunset Gardens,P1-U25,,,0
2024-12-03,1,Sunset Gardens,P1-U26,16,Resident16 Last16,5619
2024-12-03,1,Sunset Gardens,P1-U27,,,0
2024-12-03,1,Sunset Gardens,P1-U28,17,Resident17 Last17,4390
2024-12-03,1,Sunset Gardens,P1-U29,18,Resident18 Last18,3165
2024-12-03,1,Sunset Gardens,P1-U30,,,0
2024-12-03,1,Sunset Gardens,P1-U31,19,Resident19 Last19,3698
2024-12-03,1,Sunset Gardens,P1-U32,,,0
2024-12-03,1,Sunset Gardens,P1-U33,20,Resident20 Last20,4589
2024-12-03,1,Sunset Gardens,P1-U34,,,0
2024-12-03,1,Sunset Gardens,P1-U35,21,Resident21 Last21,6548
2024-12-03,1,Sunset Gardens,P1-U36,22,Resident22 Last22,5722
2024-12-03,1,Sunset Gardens,P1-U37,23,Resident23 Last23,6826
2024-12-03,1,Sunset Gardens,P1-U38,24,Resident24 Last24,5319
2024-12-03,1,Sunset Gardens,P1-U39,,,0
2024-12-03,1,Sunset Gardens,P1-U40,25,Resident25 Last25,3203
2024-12-03,1,Sunset Gardens,P1-U41,,,0
2024-12-03,1,Sunset Gardens,P1-U42,,,0
2024-12-03,1,Sunset Gardens,P1-U43,,,0
2024-12-03,1,Sunset Gardens,P1-U44,26,Resident26 Last26,4150
2024-12-03,1,Sunset Gardens,P1-U45,27,Resident27 Last27,3659
2024-12-03,1,Sunset Gardens,P1-U46,28,Resident28 Last28,4656
2024-12-03,1,Sunset Gardens,P1-U47,,,0
2024-12-03,1,Sunset Gardens,P1-U48,,,0
2024-12-03,1,Sunset Gardens,P1-U49,29,Resident29 Last29,4138
2024-12-03,1,Sunset Gardens,P1-U50,30,Resident30 Last30,6031
2024-12-03,2,Meadowbrook Senior Living,P2-U01,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U02,31,Resident31 Last31,3643
2024-12-03,2,Meadowbrook Senior Living,P2-U03,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U04,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U05,32,Resident32 Last32,5524
2024-12-03,2,Meadowbrook Senior Living,P2-U06,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U07,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U08,33,Resident33 Last33,7164
2024-12-03,2,Meadowbrook Senior Living,P2-U09,34,Resident34 Last34,6565
2024-12-03,2,Meadowbrook Senior Living,P2-U10,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U11,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U12,35,Resident35 Last35,5476
2024-12-03,2,Meadowbrook Senior Living,P2-U13,36,Resident36 Last36,4795
2024-12-03,2,Meadowbrook Senior Living,P2-U14,37,Resident37 Last37,6972
2024-12-03,2,Meadowbrook Senior Living,P2-U15,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U16,38,Resident38 Last38,6144
2024-12-03,2,Meadowbrook Senior Living,P2-U17,39,Resident39 Last39,3646
2024-12-03,2,Meadowbrook Senior Living,P2-U18,40,Resident40 Last40,6397
2024-12-03,2,Meadowbrook Senior Living,P2-U19,,,0
2024-12-03,2,Meadowbrook Senior Living,P2-U20,41,Resident41 Last41,3058
